date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:02:22	30117/30117	---M-Z	200	added ('OK')	text/html	etag:%224d50a6d-75a5-5005ecb3000d8%22	http://tamashi-themes.com/themes/bamboo/index.html	D:/testar%20templates/coderace16/tamashi-themes.com/themes/bamboo/index.html	(from )
03:02:23	232/232	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2011%20Jun%202016%2006:04:34%20GMT	http://tamashi-themes.com/robots.txt		(from )
03:02:23	302/302	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2011%20Jun%202016%2006:04:35%20GMT	http://tamashi-themes.com/themes/bamboo/ico/favicon.png	D:/testar%20templates/coderace16/tamashi-themes.com/themes/bamboo/ico/favicon.png	(from http://tamashi-themes.com/themes/bamboo/index.html)
03:02:28	109518/109518	---M--	200	added ('OK')	text/css	etag:%224554d0e-1abce-4fdb31a85cec5%22	http://tamashi-themes.com/themes/bamboo/assets/bootstrap/css/bootstrap.min.css	D:/testar%20templates/coderace16/tamashi-themes.com/themes/bamboo/assets/bootstrap/css/bootstrap.min.css	(from http://tamashi-themes.com/themes/bamboo/index.html)
03:02:30	11494/11494	---M--	200	added ('OK')	text/css	etag:%224554daf-2ce6-4fdb31ae4f5dc%22	http://tamashi-themes.com/themes/bamboo/assets/css/slippry/slippry.css	D:/testar%20templates/coderace16/tamashi-themes.com/themes/bamboo/assets/css/slippry/slippry.css	(from http://tamashi-themes.com/themes/bamboo/index.html)
03:02:31	18075/18075	---M--	200	added ('OK')	text/css	etag:%224554ab2-469b-4fdb31988f577%22	http://tamashi-themes.com/themes/bamboo/assets/js/lightGallery/css/lightGallery.css	D:/testar%20templates/coderace16/tamashi-themes.com/themes/bamboo/assets/js/lightGallery/css/lightGallery.css	(from http://tamashi-themes.com/themes/bamboo/index.html)
03:02:32	184297/184297	---M--	200	added ('OK')	text/css	etag:%229e28d8d-2cfe9-4fe3ba35ce1fb%22	http://tamashi-themes.com/themes/bamboo/style.css	D:/testar%20templates/coderace16/tamashi-themes.com/themes/bamboo/style.css	(from http://tamashi-themes.com/themes/bamboo/index.html)
03:02:34	68760/68760	---M--	200	added ('OK')	text/css	etag:%224554da4-10c98-4fdb31ae4ac0d%22	http://tamashi-themes.com/themes/bamboo/assets/css/animate.css/animate.css	D:/testar%20templates/coderace16/tamashi-themes.com/themes/bamboo/assets/css/animate.css/animate.css	(from http://tamashi-themes.com/themes/bamboo/index.html)
03:02:35	20766/20766	---MCZ	200	added ('OK')	text/css	etag:W/%22bbfef9385083d307ad2692c0cf99f611%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.1.0/css/font-awesome.min.css	D:/testar%20templates/coderace16/maxcdn.bootstrapcdn.com/font-awesome/4.1.0/css/font-awesome.min.css	(from http://tamashi-themes.com/themes/bamboo/index.html)
03:02:35	44932/44932	---M-Z	200	added ('OK')	text/html	etag:%2296b2fb5-af84-4fdb311f95588%22	http://tamashi-themes.com/themes/bamboo/shortcodes.html	D:/testar%20templates/coderace16/tamashi-themes.com/themes/bamboo/shortcodes.html	(from http://tamashi-themes.com/themes/bamboo/index.html)
03:02:36	27580/27580	---MC-	200	added ('OK')	text/javascript	date:Wed,%2001%20Jun%202016%2014:34:39%20GMT	http://www.google-analytics.com/analytics.js	D:/testar%20templates/coderace16/www.google-analytics.com/analytics.js	(from http://tamashi-themes.com/themes/bamboo/index.html)
03:02:36	8277/8277	---M--	200	added ('OK')	image/jpeg	etag:%222ebab1d-2055-4fdb31543e35a%22	http://tamashi-themes.com/themes/bamboo/assets/img/team/team-1.jpg	D:/testar%20templates/coderace16/tamashi-themes.com/themes/bamboo/assets/img/team/team-1.jpg	(from http://tamashi-themes.com/themes/bamboo/index.html)
03:02:37	9487/9487	---M--	200	added ('OK')	image/jpeg	etag:%222ebab1e-250f-4fdb31544087c%22	http://tamashi-themes.com/themes/bamboo/assets/img/team/team-2.jpg	D:/testar%20templates/coderace16/tamashi-themes.com/themes/bamboo/assets/img/team/team-2.jpg	(from http://tamashi-themes.com/themes/bamboo/index.html)
03:02:37	9443/9443	---M--	200	added ('OK')	image/jpeg	etag:%222ebab36-24e3-4fdb3155078da%22	http://tamashi-themes.com/themes/bamboo/assets/img/team/team-3.jpg	D:/testar%20templates/coderace16/tamashi-themes.com/themes/bamboo/assets/img/team/team-3.jpg	(from http://tamashi-themes.com/themes/bamboo/index.html)
03:02:38	12038/12038	---M--	200	added ('OK')	image/jpeg	etag:%222ebab37-2f06-4fdb315500326%22	http://tamashi-themes.com/themes/bamboo/assets/img/team/team-4.jpg	D:/testar%20templates/coderace16/tamashi-themes.com/themes/bamboo/assets/img/team/team-4.jpg	(from http://tamashi-themes.com/themes/bamboo/index.html)
03:02:38	8117/8117	---M--	200	added ('OK')	image/png	etag:%222eba839-1fb5-4fdb313df474d%22	http://tamashi-themes.com/themes/bamboo/assets/img/clients/1.png	D:/testar%20templates/coderace16/tamashi-themes.com/themes/bamboo/assets/img/clients/1.png	(from http://tamashi-themes.com/themes/bamboo/index.html)
03:02:38	4533/4533	---M--	200	added ('OK')	image/png	etag:%222eba83a-11b5-4fdb313dcdd8d%22	http://tamashi-themes.com/themes/bamboo/assets/img/clients/2.png	D:/testar%20templates/coderace16/tamashi-themes.com/themes/bamboo/assets/img/clients/2.png	(from http://tamashi-themes.com/themes/bamboo/index.html)
03:02:39	3486/3486	---M--	200	added ('OK')	image/png	etag:%222eba84b-d9e-4fdb313e59928%22	http://tamashi-themes.com/themes/bamboo/assets/img/clients/3.png	D:/testar%20templates/coderace16/tamashi-themes.com/themes/bamboo/assets/img/clients/3.png	(from http://tamashi-themes.com/themes/bamboo/index.html)
03:02:39	5716/5716	---M--	200	added ('OK')	image/png	etag:%222eba856-1654-4fdb313e8a4a3%22	http://tamashi-themes.com/themes/bamboo/assets/img/clients/4.png	D:/testar%20templates/coderace16/tamashi-themes.com/themes/bamboo/assets/img/clients/4.png	(from http://tamashi-themes.com/themes/bamboo/index.html)
03:02:39	4785/4785	---M--	200	added ('OK')	image/png	etag:%222eba895-12b1-4fdb313f06af2%22	http://tamashi-themes.com/themes/bamboo/assets/img/clients/5.png	D:/testar%20templates/coderace16/tamashi-themes.com/themes/bamboo/assets/img/clients/5.png	(from http://tamashi-themes.com/themes/bamboo/index.html)
03:02:40	4922/4922	---M--	200	added ('OK')	image/png	etag:%222eba89a-133a-4fdb313f24d91%22	http://tamashi-themes.com/themes/bamboo/assets/img/clients/6.png	D:/testar%20templates/coderace16/tamashi-themes.com/themes/bamboo/assets/img/clients/6.png	(from http://tamashi-themes.com/themes/bamboo/index.html)
03:02:41	23677/23677	---M--	200	added ('OK')	image/jpeg	etag:%222eba8bf-5c7d-4fdb31419b2a9%22	http://tamashi-themes.com/themes/bamboo/assets/img/portfolio/1.jpg	D:/testar%20templates/coderace16/tamashi-themes.com/themes/bamboo/assets/img/portfolio/1.jpg	(from http://tamashi-themes.com/themes/bamboo/index.html)
